Sirket	Urun	Tur Adi	Inc	Ram	Isletim Sistemi	Agirlik	Ekran	Ekran Genisligi	Ekran Yuksekligi	Dokunmatik Ekran	IPS Panel	Retina Ekran	Islemci Sirketi	Islemci Frekansi	Islemci Modeli	Birincil Depolama	Ikincil Depolama	Birincil Depolama Turu	Ikincil Depolama Turu	Grafik Karti Sirketi	Grafik Karti Modeli	Fiyat(TürkLirasi)
Acer	Aspire A515-51G	Notebook	15.6	4.0	Windows 10	2.2	Full HD	1920.0	1080.0	No	Yes	No	Intel	1.6	Core i5 8250U	256.0	0.0	SSD	No	Intel	UHD Graphics 620	25234.0
Dell	Inspiron 7773	2 in 1 Convertible	17.3	12.0	Windows 10	2.77	Full HD	1920.0	1080.0	Yes	No	No	Intel	1.6	Core i5 8250U	1024.0	0.0	HDD	No	Nvidia	GeForce 150MX	36963.0
Apple	MacBook Pro	Ultrabook	13.3	8.0	macOS	1.37	Standard	2560.0	1600.0	No	Yes	Yes	Intel	2.0	Core i5	256.0	0.0	SSD	No	Intel	Iris Graphics 540	52503.0
Lenovo	IdeaPad 320-15ISK	Notebook	15.6	4.0	No OS	2.2	Standard	1366.0	768.0	No	No	No	Intel	2.0	Core i3 6006U	128.0	0.0	SSD	No	Intel	HD Graphics 520	13653.0
Asus	Rog Strix	Gaming	17.3	8.0	Windows 10	3.2	Full HD	1920.0	1080.0	No	No	No	AMD	3.0	Ryzen 1700	256.0	1024.0	SSD	HDD	AMD	Radeon RX 580	48063.0
Dell	Inspiron 3567	Notebook	15.6	4.0	Windows 10	2.3	Full HD	1920.0	1080.0	No	No	No	Intel	2.5	Core i5 7200U	256.0	0.0	SSD	No	AMD	Radeon R5 M430	23643.0
Asus	X751NV-TY001T (N4200/4GB/1TB/GeForce	Notebook	17.3	4.0	Windows 10	2.8	Standard	1366.0	768.0	No	No	No	Intel	1.1	Pentium Quad Core N4200	1024.0	0.0	HDD	No	Nvidia	GeForce 920MX	17242.0
Lenovo	Yoga Book	2 in 1 Convertible	10.1	4.0	Android	0.69	Standard	1920.0	1200.0	Yes	Yes	No	Intel	1.44	Atom x5-Z8550	64.0	0.0	Flash Storage	No	Intel	HD Graphics 400	11803.0
Acer	Aspire A515-51G	Notebook	15.6	8.0	Windows 10	2.2	Full HD	1920.0	1080.0	No	Yes	No	Intel	1.8	Core i7 8550U	256.0	0.0	SSD	No	Nvidia	GeForce MX150	31117.0
HP	255 G6	Notebook	15.6	4.0	Windows 10	1.86	Full HD	1920.0	1080.0	No	No	No	AMD	2.5	A6-Series 9220	256.0	0.0	SSD	No	AMD	Radeon R4 Graphics	14744.130000000001
HP	ProBook 430	Notebook	13.3	8.0	Windows 10	1.49	Full HD	1920.0	1080.0	No	No	No	Intel	1.8	Core i7 8550U	512.0	0.0	SSD	No	Intel	UHD Graphics 620	40811.0
Acer	Aspire 3	Notebook	15.6	4.0	Windows 10	2.4	Standard	1366.0	768.0	No	No	No	Intel	2.4	Core i3 7100U	1024.0	0.0	HDD	No	Intel	HD Graphics 620	14208.0
Dell	Inspiron 3576	Notebook	15.6	8.0	Windows 10	2.13	Full HD	1920.0	1080.0	No	No	No	Intel	1.8	Core i7 8550U	256.0	0.0	SSD	No	AMD	Radeon 520	28408.6
HP	15-bs002nv (i3-6006U/4GB/128GB/FHD/W10)	Notebook	15.6	4.0	Windows 10	1.91	Full HD	1920.0	1080.0	No	No	No	Intel	2.0	Core i3 6006U	128.0	0.0	SSD	No	Intel	HD Graphics 520	16243.0
Asus	VivoBook Max	Notebook	15.6	4.0	Windows 10	2.0	Standard	1366.0	768.0	No	No	No	Intel	2.5	Core i5 7200U	256.0	0.0	SSD	No	Intel	HD Graphics 620	21689.030000000002
MSI	GS73VR 7RG	Gaming	17.3	16.0	Windows 10	2.43	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	256.0	2048.0	SSD	HDD	Nvidia	GeForce GTX 1070	90613.0
Asus	X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux)	Notebook	15.6	4.0	Linux	2.0	Full HD	1920.0	1080.0	No	No	No	Intel	2.0	Core i3 6006U	256.0	0.0	SSD	No	Intel	HD Graphics 520	15355.0
Dell	Inspiron 5770	Notebook	17.3	16.0	Windows 10	2.8	Full HD	1920.0	1080.0	No	No	No	Intel	1.8	Core i7 8550U	256.0	2048.0	SSD	HDD	AMD	Radeon 530	48063.0
Dell	Vostro 5471	Ultrabook	14.0	8.0	Windows 10	1.7	Full HD	1920.0	1080.0	No	No	No	Intel	1.6	Core i5 8250U	256.0	0.0	SSD	No	Intel	UHD Graphics 620	32523.0
Lenovo	IdeaPad 520S-14IKB	Notebook	14.0	8.0	No OS	1.7	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.7	Core i3 7130U	256.0	0.0	SSD	No	Intel	HD Graphics 620	22163.0
Asus	UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10)	Notebook	14.0	8.0	Windows 10	1.4	Full HD	1920.0	1080.0	No	No	No	Intel	1.6	Core i5 8250U	256.0	0.0	SSD	No	Intel	UHD Graphics 620	34817.0
HP	250 G6	Notebook	15.6	8.0	Windows 10	1.86	Full HD	1920.0	1080.0	No	No	No	Intel	2.5	Core i5 7200U	256.0	0.0	SSD	No	Intel	HD Graphics 620	25530.0
Asus	ZenBook Pro	Ultrabook	15.6	16.0	Windows 10	1.8	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	512.0	0.0	SSD	No	Nvidia	GeForce GTX 1050 Ti	73371.0
HP	250 G6	Notebook	15.6	4.0	Windows 10	1.86	Standard	1366.0	768.0	No	No	No	Intel	2.0	Core i3 6006U	500.0	0.0	HDD	No	AMD	Radeon 520	16231.53
HP	Stream 14-AX040wm	Notebook	14.0	4.0	Windows 10	1.44	Standard	1366.0	768.0	No	No	No	Intel	1.6	Celeron Dual Core N3060	32.0	0.0	SSD	No	Intel	HD Graphics 400	8473.0
Lenovo	V310-15ISK (i5-7200U/4GB/1TB/FHD/W10)	Notebook	15.6	4.0	Windows 10	1.9	Full HD	1920.0	1080.0	No	No	No	Intel	2.5	Core i5 7200U	1024.0	0.0	HDD	No	Intel	HD Graphics 620	20313.0
Asus	FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce	Gaming	17.3	12.0	Linux	3.0	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	1024.0	0.0	HDD	No	Nvidia	GeForce GTX 1050 Ti	35113.0
Microsoft	Surface Laptop	Ultrabook	13.5	4.0	Windows 10 S	1.252	Standard	2256.0	1504.0	Yes	No	No	Intel	2.5	Core i5 7200U	128.0	0.0	SSD	No	Intel	HD Graphics 620	40293.0
Dell	Inspiron 5370	Ultrabook	13.3	8.0	Windows 10	1.4	Full HD	1920.0	1080.0	No	Yes	No	Intel	1.8	Core i7 8550U	256.0	0.0	SSD	No	AMD	Radeon 530	35335.0
Dell	Inspiron 5570	Notebook	15.6	8.0	Windows 10	2.2	Full HD	1920.0	1080.0	No	No	No	Intel	1.8	Core i7 8550U	256.0	0.0	SSD	No	AMD	Radeon 530	32190.0
MSI	GL72M 7RDX	Gaming	17.3	8.0	Windows 10	2.7	Full HD	1920.0	1080.0	No	No	No	Intel	2.5	Core i5 7300HQ	128.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 1050	40515.0
Acer	Aspire E5-475	Notebook	14.0	8.0	Windows 10	2.1	Standard	1366.0	768.0	No	No	No	Intel	2.0	Core i3 6006U	1024.0	0.0	HDD	No	Intel	HD Graphics 520	14393.0
Asus	FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce	Gaming	15.6	8.0	Windows 10	2.2	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	1024.0	0.0	HDD	No	Nvidia	GeForce GTX 1050	35113.0
Lenovo	IdeaPad 320-15IKBN	Notebook	15.6	8.0	No OS	2.2	Full HD	1920.0	1080.0	No	No	No	Intel	2.5	Core i5 7200U	2048.0	0.0	HDD	No	Intel	HD Graphics 620	19203.0
Dell	Inspiron 5570	Notebook	15.6	8.0	Windows 10	2.02	Full HD	1920.0	1080.0	No	No	No	Intel	1.8	Core i7 8550U	128.0	1024.0	SSD	HDD	Intel	UHD Graphics 620	31635.0
Acer	Aspire A515-51G-32MX	Notebook	15.6	4.0	Windows 10	2.2	Full HD	1920.0	1080.0	No	No	No	Intel	2.7	Core i3 7130U	1024.0	0.0	HDD	No	Nvidia	GeForce MX130	19610.0
HP	ProBook 470	Notebook	17.3	8.0	Windows 10	2.5	Full HD	1920.0	1080.0	No	No	No	Intel	1.6	Core i5 8250U	128.0	1024.0	SSD	HDD	Nvidia	GeForce 930MX	36149.0
Dell	Latitude 5590	Ultrabook	15.6	8.0	Windows 10	1.88	Full HD	1920.0	1080.0	No	Yes	No	Intel	1.6	Core i5 8250U	256.0	0.0	SSD	No	Intel	UHD Graphics 620	40557.920000000006
"Apple,""MacBook 12"""""",Ultrabook,12.0,8,macOS,0.92,1510.0,Standard,2304,1440,No,Yes,Yes,Intel,1.3,Core i5,512,0,SSD,No,Intel,HD Graphics 615"																						
HP	ProBook 440	Notebook	14.0	8.0	Windows 10	1.63	Full HD	1920.0	1080.0	No	No	No	Intel	1.6	Core i5 8250U	256.0	0.0	SSD	No	Intel	HD Graphics 620	31820.0
Lenovo	IdeaPad 320-15AST	Notebook	15.6	4.0	Windows 10	2.2	Full HD	1920.0	1080.0	No	No	No	AMD	2.5	A6-Series 9220	128.0	0.0	SSD	No	AMD	R4 Graphics	14763.0
Acer	Aspire 3	Notebook	15.6	4.0	Windows 10	2.1	Standard	1366.0	768.0	No	No	No	AMD	3.0	A9-Series 9420	1024.0	0.0	HDD	No	AMD	Radeon R5	14615.0
Dell	Inspiron 7577	Gaming	15.6	16.0	Windows 10	2.65	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.8	Core i7 7700HQ	128.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 1050 Ti	49913.0
HP	Pavilion 15-CK000nv	Ultrabook	15.6	8.0	Windows 10	1.83	Full HD	1920.0	1080.0	No	Yes	No	Intel	1.8	Core i7 8550U	256.0	0.0	SSD	No	Nvidia	GeForce GTX 940MX	25863.0
HP	250 G6	Notebook	15.6	8.0	Windows 10	1.96	Full HD	1920.0	1080.0	No	No	No	Intel	2.5	Core i5 7200U	256.0	0.0	SSD	No	Intel	HD Graphics 620	22162.63
Asus	FX503VM-E4007T (i7-7700HQ/16GB/1TB	Gaming	15.6	16.0	Windows 10	2.2	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.8	Core i7 7700HQ	128.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 1060	53613.0
Dell	XPS 13	Ultrabook	13.3	8.0	Windows 10	1.21	Full HD	1920.0	1080.0	No	Yes	No	Intel	1.8	Core i7 8550U	256.0	0.0	SSD	No	Intel	UHD Graphics 620	61013.0
Asus	FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon	Gaming	15.6	8.0	Windows 10	2.45	Full HD	1920.0	1080.0	No	No	No	AMD	3.0	FX 9830P	1024.0	0.0	HDD	No	AMD	Radeon RX 560	25863.0
Acer	Aspire 5	Notebook	15.6	8.0	Windows 10	2.2	Full HD	1920.0	1080.0	No	No	No	Intel	1.8	Core i7 8550U	1024.0	0.0	HDD	No	Nvidia	GeForce MX150	25493.0
HP	Probook 430	Notebook	13.3	16.0	Windows 10	1.49	Full HD	1920.0	1080.0	No	No	No	Intel	1.8	Core i7 8550U	512.0	0.0	SSD	No	Intel	UHD Graphics 620	44289.0
Dell	Inspiron 7577	Gaming	15.6	8.0	Windows 10	2.65	Full HD	1920.0	1080.0	No	No	No	Intel	2.5	Core i5 7300HQ	256.0	0.0	SSD	No	Nvidia	GeForce GTX 1060	44215.0
Asus	Zenbook UX430UA	Ultrabook	14.0	8.0	Windows 10	1.25	Full HD	1920.0	1080.0	No	No	No	Intel	2.7	Core i7 7500U	256.0	0.0	SSD	No	Intel	HD Graphics 620	38813.0
Acer	Spin 5	2 in 1 Convertible	13.3	8.0	Windows 10	1.5	Full HD	1920.0	1080.0	Yes	Yes	No	Intel	1.6	Core i5 8250U	256.0	0.0	SSD	No	Intel	UHD Graphics 620	31339.0
Dell	Inspiron 3567	Notebook	15.6	8.0	Linux	2.2	Full HD	1920.0	1080.0	No	No	No	Intel	2.7	Core i7 7500U	1024.0	0.0	HDD	No	AMD	Radeon R5 M430	22196.3
Dell	Inspiron 3567	Notebook	15.6	4.0	Linux	2.2	Full HD	1920.0	1080.0	No	No	No	Intel	2.0	Core i3 6006U	256.0	0.0	SSD	No	AMD	Radeon R5 M430	17945.0
Asus	X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce	Notebook	15.6	6.0	Windows 10	2.0	Full HD	1920.0	1080.0	No	No	No	Intel	2.4	Core i3 7100U	256.0	0.0	SSD	No	Nvidia	GeForce 920M	21349.0
HP	Omen 15-ce007nv	Gaming	15.6	12.0	Windows 10	2.62	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.8	Core i7 7700HQ	128.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 1050	46213.0
HP	15-bs017nv (i7-7500U/8GB/256GB/Radeon	Notebook	15.6	8.0	Windows 10	1.91	Full HD	1920.0	1080.0	No	No	No	Intel	2.7	Core i7 7500U	256.0	0.0	SSD	No	AMD	Radeon 530	26603.0
HP	15-bw000nv (E2-9000e/4GB/500GB/Radeon	Notebook	15.6	4.0	Windows 10	2.1	Full HD	1920.0	1080.0	No	No	No	AMD	1.5	E-Series E2-9000e	500.0	0.0	HDD	No	AMD	Radeon R2	12913.0
Dell	Inspiron 3576	Notebook	15.6	8.0	Linux	2.2	Full HD	1920.0	1080.0	No	No	No	Intel	1.6	Core i5 8250U	1024.0	0.0	HDD	No	AMD	Radeon 520	23939.0
HP	Envy 13-ad009n	Ultrabook	13.3	8.0	Windows 10	1.38	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.7	Core i7 7500U	256.0	0.0	SSD	No	Nvidia	GeForce MX150	41403.0
Microsoft	Surface Laptop	Ultrabook	13.5	8.0	Windows 10 S	1.252	Standard	2256.0	1504.0	Yes	No	No	Intel	2.5	Core i5 7200U	256.0	0.0	SSD	No	Intel	HD Graphics 620	49580.0
HP	Pavilion 14-BK001nv	Notebook	14.0	6.0	Windows 10	1.58	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.5	Core i5 7200U	256.0	0.0	SSD	No	Nvidia	GeForce 940MX	24383.0
Lenovo	Ideapad 310-15ISK	Notebook	15.6	4.0	Windows 10	1.85	Full HD	1920.0	1080.0	No	No	No	Intel	2.0	Core i3 6006U	1024.0	0.0	HDD	No	Intel	HD Graphics 520	15351.3
Asus	UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce	Ultrabook	14.0	8.0	Windows 10	1.3	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.7	Core i7 7500U	256.0	0.0	SSD	No	Nvidia	GeForce 940MX	44141.0
MSI	GP62M 7REX	Gaming	15.6	16.0	Windows 10	2.2	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	256.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 1050 Ti	48063.0
Lenovo	Thinkpad T470	Notebook	14.0	8.0	Windows 10	1.58	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.7	Core i7 7500U	256.0	0.0	SSD	No	Intel	HD Graphics 620	54760.0
Asus	VivoBook S15	Ultrabook	15.6	16.0	Windows 10	1.5	Full HD	1920.0	1080.0	No	No	No	Intel	1.8	Core i7 8550U	256.0	1024.0	SSD	HDD	Nvidia	GeForce MX150	46694.0
Dell	XPS 13	Ultrabook	13.3	8.0	Windows 10	1.23	Quad HD+	3200.0	1800.0	Yes	No	No	Intel	2.4	Core i7 7560U	256.0	0.0	SSD	No	Intel	Iris Plus Graphics 640	51023.0
Lenovo	ThinkPad Yoga	2 in 1 Convertible	13.3	8.0	Windows 10	1.37	Full HD	1920.0	1080.0	Yes	Yes	No	Intel	2.5	Core i5 7200U	256.0	0.0	SSD	No	Intel	HD Graphics 620	51763.0
HP	Probook 440	Notebook	14.0	4.0	Windows 10	1.63	Standard	1366.0	768.0	No	Yes	No	Intel	1.6	Core i5 8250U	500.0	0.0	HDD	No	Intel	UHD Graphics 620	26714.0
Dell	XPS 13	Ultrabook	13.3	8.0	Windows 10	1.21	Full HD	1920.0	1080.0	No	Yes	No	Intel	1.6	Core i5 8250U	256.0	0.0	SSD	No	Intel	UHD Graphics 620	60273.0
HP	Spectre x360	2 in 1 Convertible	13.3	8.0	Windows 10	1.26	Full HD	1920.0	1080.0	Yes	Yes	No	Intel	1.6	Core i5 8250U	256.0	0.0	SSD	No	Intel	UHD Graphics 620	51762.63
HP	Probook 440	Notebook	14.0	8.0	Windows 10	1.63	Full HD	1920.0	1080.0	No	No	No	Intel	1.8	Core i7 8550U	512.0	0.0	SSD	No	Intel	UHD Graphics 620	40108.0
Dell	Inspiron 7570	Notebook	15.6	8.0	Windows 10	2.16	Full HD	1920.0	1080.0	No	Yes	No	Intel	1.8	Core i7 8550U	256.0	1024.0	SSD	HDD	Nvidia	GeForce 940MX	41822.21
Asus	X705UV-BX074T (i3-6006U/4GB/1TB/GeForce	Notebook	17.3	4.0	Windows 10	2.0	Full HD	1920.0	1080.0	No	No	No	Intel	2.0	Core i3 6006U	1024.0	0.0	HDD	No	Nvidia	GeForce 920MX	20868.0
Asus	VivoBook S15	Notebook	15.6	8.0	Windows 10	1.7	Full HD	1920.0	1080.0	No	No	No	Intel	1.8	Core i7 8550U	256.0	0.0	SSD	No	Nvidia	GeForce 940MX	41366.0
Acer	Spin 3	Notebook	15.6	6.0	Windows 10	2.1	Full HD	1920.0	1080.0	Yes	Yes	No	Intel	2.4	Core i3 7100U	1024.0	0.0	HDD	No	Intel	HD Graphics 620	17723.0
